False Positive Rate,True Positive Rate,AUC,Class
0.9204819277108434,1.0,0.9838803489821355,Class 2
0.9253012048192771,1.0,0.9838803489821355,Class 2
0.9373493975903614,1.0,0.9838803489821355,Class 2
0.9397590361445783,1.0,0.9838803489821355,Class 2
0.9566265060240964,1.0,0.9838803489821355,Class 2
1.0,1.0,0.9838803489821355,Class 2
0.0,0.0,0.9690366972477064,Class 3
0.0,0.125,0.9690366972477064,Class 3
0.0,0.375,0.9690366972477064,Class 3
0.016055045871559634,0.375,0.9690366972477064,Class 3
0.016055045871559634,0.5,0.9690366972477064,Class 3
0.01834862385321101,0.5,0.9690366972477064,Class 3
0.01834862385321101,0.625,0.9690366972477064,Class 3
0.0389908256880734,0.625,0.9690366972477064,Class 3
0.04357798165137615,0.625,0.9690366972477064,Class 3
0.05733944954128441,0.625,0.9690366972477064,Class 3
0.05733944954128441,0.75,0.9690366972477064,Class 3
0.07339449541284404,0.75,0.9690366972477064,Class 3
0.07339449541284404,0.875,0.9690366972477064,Class 3
0.08256880733944955,0.875,0.9690366972477064,Class 3
0.08256880733944955,1.0,0.9690366972477064,Class 3
0.15137614678899083,1.0,0.9690366972477064,Class 3
0.1628440366972477,1.0,0.9690366972477064,Class 3
0.17889908256880735,1.0,0.9690366972477064,Class 3
0.1834862385321101,1.0,0.9690366972477064,Class 3
0.2018348623853211,1.0,0.9690366972477064,Class 3
0.20642201834862386,1.0,0.9690366972477064,Class 3
0.22935779816513763,1.0,0.9690366972477064,Class 3
0.23853211009174313,1.0,0.9690366972477064,Class 3
0.24541284403669725,1.0,0.9690366972477064,Class 3
0.25,1.0,0.9690366972477064,Class 3
0.29357798165137616,1.0,0.9690366972477064,Class 3
0.2981651376146789,1.0,0.9690366972477064,Class 3
0.31422018348623854,1.0,0.9690366972477064,Class 3
0.31880733944954126,1.0,0.9690366972477064,Class 3
0.33256880733944955,1.0,0.9690366972477064,Class 3
0.3463302752293578,1.0,0.9690366972477064,Class 3
0.5045871559633027,1.0,0.9690366972477064,Class 3
0.5160550458715596,1.0,0.9690366972477064,Class 3
0.5435779816513762,1.0,0.9690366972477064,Class 3
0.5504587155963303,1.0,0.9690366972477064,Class 3
0.591743119266055,1.0,0.9690366972477064,Class 3
0.6467889908256881,1.0,0.9690366972477064,Class 3
0.6628440366972477,1.0,0.9690366972477064,Class 3
0.7431192660550459,1.0,0.9690366972477064,Class 3
0.7660550458715596,1.0,0.9690366972477064,Class 3
0.7706422018348624,1.0,0.9690366972477064,Class 3
0.7775229357798165,1.0,0.9690366972477064,Class 3
0.7844036697247706,1.0,0.9690366972477064,Class 3
0.8256880733944955,1.0,0.9690366972477064,Class 3
0.8325688073394495,1.0,0.9690366972477064,Class 3
0.8944954128440367,1.0,0.9690366972477064,Class 3
0.9013761467889908,1.0,0.9690366972477064,Class 3
0.9747706422018348,1.0,0.9690366972477064,Class 3
0.9793577981651376,1.0,0.9690366972477064,Class 3
1.0,1.0,0.9690366972477064,Class 3
0.0,0.0,1.0,Class 4
0.0,0.14285714285714285,1.0,Class 4
0.0,0.42857142857142855,1.0,Class 4
0.0,0.7142857142857143,1.0,Class 4
0.0,1.0,1.0,Class 4
0.14187643020594964,1.0,1.0,Class 4
0.15331807780320367,1.0,1.0,Class 4
0.16475972540045766,1.0,1.0,Class 4
0.16933638443935928,1.0,1.0,Class 4
0.20137299771167047,1.0,1.0,Class 4
0.20594965675057209,1.0,1.0,Class 4
0.2288329519450801,1.0,1.0,Class 4
0.2379862700228833,1.0,1.0,Class 4
0.2448512585812357,1.0,1.0,Class 4
0.2494279176201373,1.0,1.0,Class 4
0.28832951945080093,1.0,1.0,Class 4
0.30205949656750575,1.0,1.0,Class 4
0.30663615560640733,1.0,1.0,Class 4
0.4645308924485126,1.0,1.0,Class 4
0.4805491990846682,1.0,1.0,Class 4
0.4919908466819222,1.0,1.0,Class 4
0.5194508009153318,1.0,1.0,Class 4
0.5240274599542334,1.0,1.0,Class 4
0.5308924485125858,1.0,1.0,Class 4
0.5720823798627003,1.0,1.0,Class 4
0.6270022883295194,1.0,1.0,Class 4
0.6430205949656751,1.0,1.0,Class 4
0.7231121281464531,1.0,1.0,Class 4
0.7391304347826086,1.0,1.0,Class 4
0.7437070938215103,1.0,1.0,Class 4
0.7482837528604119,1.0,1.0,Class 4
0.7551487414187643,1.0,1.0,Class 4
0.7940503432494279,1.0,1.0,Class 4
0.8009153318077803,1.0,1.0,Class 4
0.9610983981693364,1.0,1.0,Class 4
0.9679633867276888,1.0,1.0,Class 4
0.9954233409610984,1.0,1.0,Class 4
1.0,1.0,1.0,Class 4
0.0,,,Class 5
0.0022522522522522522,,,Class 5
0.11036036036036036,,,Class 5
0.12162162162162163,,,Class 5
0.13288288288288289,,,Class 5
0.1373873873873874,,,Class 5
0.17792792792792791,,,Class 5
0.18243243243243243,,,Class 5
0.2072072072072072,,,Class 5
0.21621621621621623,,,Class 5
0.22297297297297297,,,Class 5
0.22747747747747749,,,Class 5
0.25900900900900903,,,Class 5
0.2725225225225225,,,Class 5
0.27702702702702703,,,Class 5
0.43243243243243246,,,Class 5
